"SANITATION","Year","Population 
(thousands)","% urban","NATIONAL","","","","","","RURAL","","","","","","URBAN","","","","","","NATIONAL","","","","","","","","RURAL","","","","","","","","URBAN","","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","",""
"","","","","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Sl"
"Eastern and South-Eastern Asia","2015","2279489.632019","56","84","4","9","3","1.54","-0.27","75","5","15","5","1.94","-0.37","91","4","4","<1","0.73","-0.07","49","10","-","39","1.97","16","25","47","32","13","-","19","1.58","30","26","23","62","8","-","54","1.85","6","24","65","58"
"Eastern and South-Eastern Asia","2016","2294101.370697","57","85","4","8","2","1.54","-0.27","77","4","14","5","1.94","-0.37","92","4","4","<1","0.73","-0.07","51","10","-","41","1.97","16","26","48","34","14","-","20","1.58","30","28","24","64","8","-","56","1.85","6","24","66","59"
"Eastern and South-Eastern Asia","2017","2308227.6324768","58","87","4","7","2","1.54","-0.27","79","4","12","4","1.94","-0.37","92","4","3","<1","0.73","-0.07","54","10","-","43","1.97","16","26","49","36","14","-","22","1.58","30","29","26","66","8","-","59","1.85","6","24","66","60"
"Eastern and South-Eastern Asia","2018","2321769.7649841","59","88","4","6","2","1.54","-0.27","81","4","10","4","1.94","-0.37","93","4","3","<1","0.73","-0.07","56","11","-","46","1.97","16","27","50","39","15","-","24","1.58","29","30","27","69","8","-","61","1.85","6","24","66","61"
"Eastern and South-Eastern Asia","2019","2334623.0133362","60","90","4","5","2","1.54","-0.27","83","4","9","4","1.94","-0.37","94","3","2","<1","0.73","-0.07","59","11","-","48","1.97","16","27","51","41","15","-","26","1.58","29","30","28","71","8","-","63","1.85","6","25","66","62"
"Eastern and South-Eastern Asia","2020","2346709.4398499","61","91","3","4","2","1.54","-0.27","86","4","7","3","1.94","-0.37","95","3","2","<1","0.73","-0.07","60","11","-","49","1.97","16","27","52","43","16","-","27","1.58","30","31","29","72","8","-","63","1.85","6","25","67","63"
"Europe and Northern America","2000","1037371.2535864","73","96","<1","3","<1","0.09","-0.00","90","<1","9","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","70","-","-","68","0.36","5","12","79","40","-","-","40","0.32","14","32","45","81","3","-","79","0.27","2","5","92","64"
"Europe and Northern America","2001","1040774.7490456","74","96","<1","4","<1","0.09","-0.00","89","<1","10","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","71","-","-","69","0.36","5","12","80","40","-","-","40","0.32","13","32","45","82","3","-","79","0.27","2","5","92","65"
"Europe and Northern America","2002","1044284.6352341","74","96","<1","3","<1","0.09","-0.00","90","<1","10","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","71","-","-","69","0.36","5","12","80","40","-","-","40","0.32","13","32","45","82","3","-","79","0.27","2","5","92","66"
"Europe and Northern America","2003","1047952.5601947","74","96","<1","3","<1","0.09","-0.00","90","<1","9","<1","0.20","-0.00","98","<1","1","<1","0.03","-0.00","71","-","-","69","0.36","5","12","80","40","-","-","40","0.32","13","32","46","82","3","-","79","0.27","2","5","92","67"
