"DRINKING WATER","Year","Population 
(thousands)","% urban","NATIONAL","","","","","RURAL","","","","","URBAN","","","","","NATIONAL","","","","","","","RURAL","","","","","","","URBAN","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","",""
"","","","","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Sl"
"Central and Southern Asia","2013","1848437.7737732","34","88","4","6","1","0.45","85","5","8","2","0.58","94","2","3","<1","0.05","56","62","72","59","0.81","43","50","53","53","67","57","1.21","29","60","63","79","83","63","-0.13","68","29","35"
"Central and Southern Asia","2014","1872400.9786987","35","89","4","6","1","0.45","86","5","8","2","0.58","94","2","3","<1","0.05","57","63","72","60","0.81","43","50","54","54","67","59","1.21","29","61","63","79","82","63","-0.13","67","30","36"
"Central and Southern Asia","2015","1896327.2716675","35","89","4","6","1","0.45","86","5","7","2","0.58","94","3","3","<1","0.05","58","64","71","61","0.81","43","51","56","56","66","61","1.21","29","62","62","79","81","62","-0.13","67","30","37"
"Central and Southern Asia","2016","1920242.5332642","35","90","4","5","1","0.45","87","5","7","2","0.58","94","3","3","<1","0.05","59","65","71","63","0.81","42","51","57","57","65","63","1.21","29","62","62","79","80","62","-0.13","66","31","38"
"Central and Southern Asia","2017","1944108.5054321","36","90","4","5","1","0.45","87","5","6","2","0.58","94","3","3","<1","0.05","60","66","70","64","0.81","42","52","58","58","65","65","1.21","29","63","62","80","80","62","-0.13","66","31","39"
"Central and Southern Asia","2018","1967865.5687256","36","90","4","4","1","0.45","88","5","6","2","0.58","95","3","2","<1","0.05","61","67","69","65","0.81","42","52","60","60","64","67","1.21","29","63","62","80","79","62","-0.13","66","32","40"
"Central and Southern Asia","2019","1991423.4943237","37","91","4","4","1","0.45","89","5","5","1","0.58","95","3","2","<1","0.05","61","68","69","66","0.81","42","52","61","61","63","68","1.21","29","64","63","80","78","63","-0.13","65","32","41"
"Central and Southern Asia","2020","2014708.5250854","37","91","4","4","<1","0.45","89","5","5","1","0.58","95","3","2","<1","0.05","62","69","68","68","0.81","42","53","62","62","63","70","1.21","29","65","63","80","77","63","-0.13","65","33","42"
"Eastern and South-Eastern Asia","2000","2043904.8276367","41","81","1","14","3","0.64","71","1","23","5","0.92","97","<1","2","<1","0.05","-","66","78","-","-","48","35","-","48","66","-","-","26","46","88","92","94","88","0.22","79","18","43"
"Eastern and South-Eastern Asia","2001","2060862.2210999","42","82","1","14","3","0.64","71","1","23","5","0.92","97","<1","2","<1","0.05","-","67","78","-","-","49","34","-","48","67","-","-","27","45","88","92","94","88","0.22","80","18","44"
