"DRINKING WATER","Year","Population 
(thousands)","% urban","NATIONAL","","","","","RURAL","","","","","URBAN","","","","","NATIONAL","","","","","","","RURAL","","","","","","","URBAN","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","",""
"","","","","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Sl"
"Upper-middle-income","2018","2898818.4789648","66","95","<1","4","<1","0.55","88","2","9","1","0.90","98","<1","1","<1","0.05","76","89","87","76","0.40","79","16","-","82","80","-","-","59","31","90","93","90","92","0.19","90","9","229"
"Upper-middle-income","2019","2918437.3164492","66","95","<1","4","<1","0.55","89","2","8","1","0.90","98","<1","1","<1","0.05","76","90","87","76","0.40","80","16","-","83","81","-","-","61","31","90","93","90","93","0.19","90","8","230"
"Upper-middle-income","2020","2936970.3003387","67","95","<1","3","<1","0.55","90","2","7","<1","0.90","98","<1","1","<1","0.05","77","90","87","77","0.40","81","15","-","84","82","-","-","62","30","90","93","90","94","0.19","90","8","231"
"High-income","2000","1076813.9162169","76","99","<1","1","<1","0.04","97","<1","3","<1","0.13",">99","<1","<1","<1","0.02","95","97","-","98","0.12","95","3","92","92","-","94","-","89","9","96","98","96","99","0.09","98","2","232"
"High-income","2001","1083584.9430103","77","99","<1","<1","<1","0.04","97","<1","3","<1","0.13",">99","<1","<1","<1","0.02","95","97","-","98","0.12","95","4","92","92","-","94","-","89","8","96","98","96","99","0.09","97","2","233"
"High-income","2002","1090445.3700304","77",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","97","-","98","0.12","96","3","94","94","-","95","-","91","7","96","98","96","99","0.09","98","2","234"
"High-income","2003","1097497.9667301","77",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","97","-","98","0.12","96","3","94","94","-","95","-","91","7","96","98","96","99","0.09","98","2","235"
"High-income","2004","1104873.6582394","78",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","97","-","98","0.12","96","3","94","94","-","95","-","91","7","96","98","96","99","0.09","98","2","236"
"High-income","2005","1112645.3788223","78",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","97","96","98","0.12","96","3","93","94","93","95","-","91","7","97","98","97","99","0.09","98","2","237"
"High-income","2006","1120861.9497604","78",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","98","96","98","0.12","96","3","93","94","93","95","-","91","7","97","99","97","99","0.09","98","2","238"
"High-income","2007","1129437.0266371","79",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","98","96","98","0.12","96","3","93","94","93","95","-","91","7","97","99","97","99","0.09","98","2","239"
"High-income","2008","1138139.366765","79",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","98","96","98","0.12","96","3","93","94","93","95","-","91","7","97","99","97","99","0.09","98","2","240"
"High-income","2009","1146652.6766148","79",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","98","96","98","0.12","97","3","93","95","93","95","-","92","6","97","99","97","99","0.09","98","2","241"
"High-income","2010","1154741.5584345","80",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","98","96","98","0.12","97","3","94","95","94","96","-","92","6","97","99","97","99","0.09","98","2","242"
"High-income","2011","1162311.2085495","80",">99","<1","<1","<1","0.04","98","<1","2","<1","0.13",">99","<1","<1","<1","0.02","96","98","96","98","0.12","97","3","94","95","94","96","-","92","6","97",">99","97","99","0.09","98","2","243"
"High-income","2012","1169397.5125237","80",">99","<1","<1","<1","0.04","98","<1","1","<1","0.13",">99","<1","<1","<1","0.02","97","98","97","98","0.12","97","3","94","96","94","96","-","92","6","97",">99","97","99","0.09","98","2","244"
"High-income","2013","1176056.2470188","80",">99","<1","<1","<1","0.04","99","<1","1","<1","0.13",">99","<1","<1","<1","0.02","97","98","97","98","0.12","97","2","95","96","95","96","-","93","6","97",">99","97","99","0.09","98","2","245"
"High-income","2014","1182397.080534","80",">99","<1","<1","<1","0.04","99","<1","1","<1","0.13",">99","<1","<1","<1","0.02","97","99","97","99","0.12","97","2","-","96","95","-","-","93","6","97",">99","97",">99","0.09","98","2","246"
"High-income","2015","1188496.7733164","80",">99","<1","<1","<1","0.04","99","<1","<1","<1","0.13",">99","<1","<1","<1","0.02","97","99","97","99","0.12","97","2","-","96","95","-","-","93","6","97",">99","97",">99","0.09","98","1","247"
"High-income","2016","1194368.2826986","81",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.13",">99","<1","<1","<1","0.02","97","99","97","99","0.12","97","2","-","97","96","-","-","93","6","98",">99","98",">99","0.09","98","1","248"
"High-income","2017","1199965.7975693","81",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.13",">99","<1","<1","<1","0.02","97","99","97",">99","0.12","97","2","-","97","96","-","-","93","6","98",">99","98",">99","0.09","98","1","249"
"High-income","2018","1205242.6782618","81",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.13",">99","<1","<1","<1","0.02","97","99","97",">99","0.12","97","2","-","97","96","-","-","93","6","98",">99","98",">99","0.09","98","1","250"
"High-income","2019","1210133.9097252","81",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.13",">99","<1","<1","<1","0.02","97","99","97",">99","0.12","98","2","-","97","96","-","-","95","5","98",">99","98",">99","0.09","99","1","251"
"High-income","2020","1214600.6795235","81",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.13",">99","<1","<1","<1","0.02","98",">99","98",">99","0.12","98","2","-","97","97","-","-","95","5","98",">99","98",">99","0.09","99","1","252"
"Fragile or Extremely Fragile","2000","1131207.6905212","34","61","7","19","13","0.67","49","7","25","19","0.70","84","6","7","3","0.28","37","41","55","37","0.25","33","35","28","29","48","28","0.27","15","40","56","63","70","56","-0.04","66","24","253"
"Fragile or Extremely Fragile","2001","1158259.931427","35","61","7","19","13","0.67","49","7","25","18","0.70","84","6","7","3","0.28","38","41","56","38","0.25","33","35","28","29","48","28","0.27","16","41","56","63","71","56","-0.04","66","25","254"
"Fragile or Extremely Fragile","2002","1185914.9339905","35","62","7","18","13","0.67","50","8","25","18","0.70","85","6","7","2","0.28","38","41","56","38","0.25","33","36","28","29","49","28","0.27","16","42","56","63","71","56","-0.04","65","25","255"
"Fragile or Extremely Fragile","2003","1214103.9976807","35","63","7","18","12","0.67","51","8","24","18","0.70","85","6","7","2","0.28","38","41","57","38","0.25","33","37","28","30","50","28","0.27","16","42","56","63","71","56","-0.04","65","26","256"
"Fragile or Extremely Fragile","2004","1242710.1332397","36","63","7","18","12","0.67","51","8","24","17","0.70","85","6","6","2","0.28","38","42","58","38","0.25","33","37","28","30","50","28","0.27","16","43","56","63","71","56","-0.04","64","27","257"
"Fragile or Extremely Fragile","2005","1271656.9327087","36","64","7","17","11","0.67","52","8","23","17","0.70","85","6","6","2","0.28","38","42","58","38","0.25","34","38","29","30","51","29","0.27","16","44","56","63","71","56","-0.04","64","27","258"
"Fragile or Extremely Fragile","2006","1300928.6933594","37","65","8","17","11","0.67","53","8","23","16","0.70","86","6","6","2","0.28","39","43","59","39","0.25","34","38","29","30","52","29","0.27","17","44","55","63","71","55","-0.04","64","28","259"
"Fragile or Extremely Fragile","2007","1330585.7922974","37","65","8","16","11","0.67","53","9","22","16","0.70","86","6","6","2","0.28","39","43","60","39","0.25","34","39","29","31","53","29","0.27","17","45","55","64","72","55","-0.04","63","29","260"
"Fragile or Extremely Fragile","2008","1360717.3059387","37","66","8","16","10","0.67","54","9","22","15","0.70","86","6","6","2","0.28","39","43","60","39","0.25","34","40","29","31","53","29","0.27","17","46","55","64","72","55","-0.04","63","29","261"
"Fragile or Extremely Fragile","2009","1391445.8184204","38","67","8","16","10","0.67","55","9","22","14","0.70","86","6","6","2","0.28","39","44","61","39","0.25","35","40","30","31","54","30","0.27","18","46","55","64","72","55","-0.04","62","30","262"
"Fragile or Extremely Fragile","2010","1422859.4848633","38","67","8","15","9","0.67","56","9","21","14","0.70","87","6","5","2","0.28","39","44","61","39","0.25","35","41","30","32","55","30","0.27","18","47","55","64","72","55","-0.04","62","31","263"
"Fragile or Extremely Fragile","2011","1464840.3966675","39","68","8","15","9","0.67","56","10","21","14","0.70","87","6","5","2","0.28","40","44","62","40","0.25","35","42","30","32","56","30","0.27","18","48","55","64","72","55","-0.04","61","32","264"
"Fragile or Extremely Fragile","2012","1497989.6211548","39","69","9","14","9","0.67","57","10","20","13","0.70","87","6","5","2","0.28","40","45","62","40","0.25","35","42","30","32","56","30","0.27","18","49","55","65","72","55","-0.04","61","32","265"
"Fragile or Extremely Fragile","2013","1531742.4980469","39","69","9","14","8","0.67","58","10","20","12","0.70","88","6","5","2","0.28","40","45","63","40","0.25","35","43","31","33","57","31","0.27","19","49","55","65","72","55","-0.04","61","33","266"
"Fragile or Extremely Fragile","2014","1565990.3480835","40","70","9","13","8","0.67","58","11","19","12","0.70","88","6","5","1","0.28","40","46","63","40","0.25","35","44","31","33","58","31","0.27","19","50","55","65","72","55","-0.04","60","34","267"
"Fragile or Extremely Fragile","2015","1600666.7140503","40","71","9","13","7","0.67","59","11","19","11","0.70","88","6","4","1","0.28","41","46","64","41","0.25","36","44","31","33","59","31","0.27","19","51","55","66","72","55","-0.04","60","34","268"
"Fragile or Extremely Fragile","2016","1635708.3383789","41","72","9","13","7","0.67","60","11","18","11","0.70","89","6","4","1","0.28","41","47","65","41","0.25","36","45","32","34","59","32","0.27","19","52","55","66","72","55","-0.04","59","35","269"
"Fragile or Extremely Fragile","2017","1671168.105835","41","72","9","12","7","0.67","60","11","18","10","0.70","89","6","4","1","0.28","41","47","65","41","0.25","36","45","32","34","60","32","0.27","20","52","55","66","72","55","-0.04","59","36","270"
"Fragile or Extremely Fragile","2018","1707232.2052612","42","73","9","12","6","0.67","61","12","17","10","0.70","89","6","4","<1","0.28","42","48","66","42","0.25","36","46","32","35","61","32","0.27","20","53","55","67","72","55","-0.04","59","36","271"
"Fragile or Extremely Fragile","2019","1744157.3840942","42","74","9","11","6","0.67","62","12","17","9","0.70","90","6","4","<1","0.28","42","48","66","42","0.25","36","47","33","35","62","33","0.27","20","54","55","67","72","55","-0.04","58","37","272"
"Fragile or Extremely Fragile","2020","1782108.9766846","43","74","9","11","5","0.67","63","12","17","9","0.70","90","6","4","<1","0.28","43","49","67","43","0.25","36","47","33","35","62","33","0.27","20","54","55","67","73","55","-0.04","58","38","273"
"Least Developed Countries","2000","649947.12787056","25","51","9","26","15","0.81","42","9","31","18","0.74","76","9","11","4","0.47","25","25","50","31","0.61","20","40","18","18","45","26","0.47","9","42","45","45","64","47","0.51","52","33","274"
"Least Developed Countries","2001","666364.87426281","25","51","9","25","14","0.81","43","9","31","18","0.74","76","9","11","4","0.47","25","25","50","32","0.61","20","40","19","19","46","27","0.47","10","42","45","45","64","47","0.51","52","33","275"
"Least Developed Countries","2002","684179.2849865","26","52","9","25","14","0.81","43","9","30","17","0.74","77","9","10","4","0.47","26","26","51","32","0.61","21","40","19","19","46","27","0.47","10","43","46","46","65","47","0.51","52","34","276"
"Least Developed Countries","2003","701453.30883884","26","53","9","24","13","0.81","44","9","30","17","0.74","77","9","10","3","0.47","26","26","52","32","0.61","22","41","19","19","47","27","0.47","10","43","46","46","65","47","0.51","53","34","277"
"Least Developed Countries","2004","718913.68562126","27","54","10","24","13","0.81","45","10","29","16","0.74","78","9","10","3","0.47","27","27","52","33","0.61","22","41","19","19","48","27","0.47","11","44","47","47","65","47","0.51","53","34","278"
"Least Developed Countries","2005","736445.29358482","27","55","10","23","12","0.81","46","10","28","16","0.74","78","9","10","3","0.47","27","27","53","33","0.61","23","41","20","20","49","28","0.47","11","44","47","48","65","47","0.51","54","34","279"
"Least Developed Countries","2006","754010.71709061","28","55","10","23","12","0.81","46","10","28","15","0.74","79","9","9","3","0.47","28","28","54","33","0.61","24","42","20","20","50","28","0.47","12","45","48","49","65","48","0.51","54","34","280"
"Least Developed Countries","2007","771684.96050835","28","56","10","22","12","0.81","47","11","27","15","0.74","79","9","9","3","0.47","28","29","55","34","0.61","24","42","21","21","51","28","0.47","13","45","48","50","66","48","0.51","55","34","281"
"Least Developed Countries","2008","789601.78546619","29","57","11","21","11","0.81","48","11","26","15","0.74","80","9","9","3","0.47","29","30","56","34","0.61","25","42","21","21","51","28","0.47","13","46","48","51","66","48","0.51","55","34","282"
"Least Developed Countries","2009","807950.11063957","29","58","11","21","11","0.81","49","11","26","14","0.74","80","9","8","2","0.47","29","30","56","34","0.61","26","43","22","22","52","29","0.47","14","47","49","52","66","49","0.51","56","34","283"
"Least Developed Countries","2010","826870.25677109","30","59","11","20","10","0.81","49","12","25","14","0.74","81","9","8","2","0.47","30","31","57","35","0.61","27","43","22","22","53","29","0.47","14","47","49","53","66","49","0.51","56","34","284"
"Least Developed Countries","2011","856228.78836918","30","59","11","19","10","0.81","50","12","24","13","0.74","81","9","8","2","0.47","30","32","58","35","0.61","27","44","22","22","54","29","0.47","15","48","49","54","67","49","0.51","56","34","285"
"Least Developed Countries","2012","876617.73528004","30","60","12","19","9","0.81","51","13","24","13","0.74","82","9","7","2","0.47","31","33","59","36","0.61","28","44","23","23","55","29","0.47","15","48","50","55","67","50","0.51","57","34","286"
"Least Developed Countries","2013","897536.79918766","31","61","12","18","9","0.81","52","13","23","12","0.74","82","9","7","2","0.47","32","34","59","36","0.61","29","44","23","23","56","30","0.47","16","49","51","56","67","51","0.51","57","34","287"
"Least Developed Countries","2014","918959.07400513","31","62","12","17","9","0.81","52","14","22","12","0.74","83","9","7","2","0.47","33","34","60","37","0.61","29","45","24","24","57","30","0.47","16","50","51","57","68","51","0.51","58","34","288"
"Least Developed Countries","2015","940860.17819309","32","63","12","17","8","0.81","53","14","22","11","0.74","83","9","6","2","0.47","33","35","61","37","0.61","30","45","25","25","58","30","0.47","17","50","52","58","68","52","0.51","58","34","289"
"Least Developed Countries","2016","963241.39806938","33","64","13","16","8","0.81","54","14","21","11","0.74","84","9","6","1","0.47","34","36","62","38","0.61","31","45","25","25","59","31","0.47","17","51","53","59","68","53","0.51","59","34","290"
"Least Developed Countries","2017","986099.9081974","33","65","13","16","7","0.81","55","15","20","10","0.74","84","9","6","1","0.47","35","37","62","38","0.61","31","46","26","26","59","31","0.47","18","52","53","60","69","53","0.51","59","34","291"
"Least Developed Countries","2018","1009398.580966","34","65","13","15","7","0.81","56","15","20","10","0.74","85","9","6","1","0.47","36","38","63","39","0.61","32","46","27","27","60","32","0.47","18","52","54","61","69","54","0.51","60","34","292"
"Least Developed Countries","2019","1033088.9892893","34","66","13","14","6","0.81","56","15","19","9","0.74","85","9","5","<1","0.47","36","39","64","40","0.61","33","47","27","27","61","32","0.47","19","53","54","62","69","54","0.51","60","34","293"
"Least Developed Countries","2020","1057131.0293045","35","67","13","14","6","0.81","57","16","19","9","0.74","85","9","5","<1","0.47","37","40","64","40","0.61","33","47","28","28","62","32","0.47","19","54","55","63","69","55","0.51","60","34","294"
"Landlocked Developing Countries","2000","327747.64117432","27","52","8","25","15","0.79","39","9","32","20","0.91","86","5","7","2","0.22","26","26","50","34","0.47","33","27","12","12","41","23","0.47","16","32","64","64","72","65","0.11","78","13","295"
"Landlocked Developing Countries","2001","335182.56970215","27","53","8","25","14","0.79","40","10","32","19","0.91","87","5","7","2","0.22","26","26","50","34","0.47","33","27","12","12","42","23","0.47","17","33","64","64","72","65","0.11","78","13","296"
"Landlocked Developing Countries","2002","342882.61346436","28","53","9","24","14","0.79","41","10","31","18","0.91","87","5","6","2","0.22","27","27","51","35","0.47","34","28","13","13","43","23","0.47","17","34","64","64","72","65","0.11","78","14","297"
"Landlocked Developing Countries","2003","350812.39068604","28","54","9","24","13","0.79","42","10","30","18","0.91","87","5","6","2","0.22","27","27","52","35","0.47","34","29","13","13","44","23","0.47","18","34","65","65","72","65","0.11","78","14","298"
"Landlocked Developing Countries","2004","358913.48626709","28","55","9","23","13","0.79","43","11","30","17","0.91","87","5","6","2","0.22","28","28","53","35","0.47","35","29","13","13","46","23","0.47","18","35","65","65","72","65","0.11","78","14","299"
"Landlocked Developing Countries","2005","367148.92724609","28","56","9","23","12","0.79","43","11","29","16","0.91","87","5","6","2","0.22","28","28","54","35","0.47","35","30","14","14","47","23","0.47","19","36","65","65","72","65","0.11","78","15","300"
"Landlocked Developing Countries","2006","375509.23504639","28","57","10","22","12","0.79","44","12","28","16","0.91","88","5","6","2","0.22","29","29","55","35","0.47","36","30","14","14","48","24","0.47","19","37","65","66","72","65","0.11","78","15","301"
"Landlocked Developing Countries","2007","384027.35406494","28","57","10","21","11","0.79","45","12","28","15","0.91","88","5","5","2","0.22","29","30","56","36","0.47","36","31","15","15","49","24","0.47","20","37","65","66","72","65","0.11","78","15","302"
"Landlocked Developing Countries","2008","392759.67340088","29","58","10","21","11","0.79","46","12","27","14","0.91","88","5","5","1","0.22","30","30","56","36","0.47","37","32","15","15","50","24","0.47","21","38","65","67","72","65","0.11","78","16","303"
"Landlocked Developing Countries","2009","401782.98742676","29","59","11","20","10","0.79","47","13","26","14","0.91","88","5","5","1","0.22","30","31","57","36","0.47","38","32","16","16","51","24","0.47","21","39","66","67","72","66","0.11","78","16","304"
"Landlocked Developing Countries","2010","411152.99920654","29","60","11","19","9","0.79","48","13","26","13","0.91","89","5","5","1","0.22","31","32","58","36","0.47","38","33","16","16","53","24","0.47","22","40","66","68","72","66","0.11","78","16","305"
"Landlocked Developing Countries","2011","430709.33972168","29","60","12","19","9","0.79","49","14","25","12","0.91","88","6","5","1","0.22","31","32","59","37","0.47","38","34","17","17","54","25","0.47","22","41","66","68","72","66","0.11","77","17","306"
"Landlocked Developing Countries","2012","441057.03424072","29","61","12","18","9","0.79","50","15","24","12","0.91","89","6","4","1","0.22","32","32","60","37","0.47","39","35","17","17","55","25","0.47","23","42","66","68","72","66","0.11","77","18","307"
"Landlocked Developing Countries","2013","451698.91577148","30","62","12","17","8","0.79","51","15","23","11","0.91","89","6","4","1","0.22","32","33","61","37","0.47","39","35","18","18","56","25","0.47","23","43","66","69","72","66","0.11","77","18","308"
"Landlocked Developing Countries","2014","462623.55444336","30","63","13","17","7","0.79","52","16","22","10","0.91","89","6","4","1","0.22","33","34","62","38","0.47","40","36","18","18","57","26","0.47","24","44","66","70","73","66","0.11","77","18","309"
"Landlocked Developing Countries","2015","473816.85412598","30","64","13","16","7","0.79","53","16","22","9","0.91","90","6","4","<1","0.22","33","34","63","38","0.47","40","37","19","19","58","26","0.47","25","44","66","70","73","66","0.11","77","19","310"
"Landlocked Developing Countries","2016","485276.85772705","30","65","14","16","6","0.79","54","17","21","9","0.91","90","6","3","<1","0.22","34","35","64","39","0.47","41","37","20","20","60","27","0.47","25","45","66","71","74","66","0.11","77","19","311"
"Landlocked Developing Countries","2017","496988.24987793","30","65","14","15","6","0.79","55","17","20","8","0.91","90","6","3","<1","0.22","34","36","65","39","0.47","41","38","20","20","61","28","0.47","26","46","66","72","74","66","0.11","77","19","312"
"Landlocked Developing Countries","2018","508906.02990723","31","66","14","14","5","0.79","55","18","19","7","0.91","90","6","3","<1","0.22","35","37","66","40","0.47","42","39","21","21","62","28","0.47","26","47","66","72","74","66","0.11","77","20","313"
"Landlocked Developing Countries","2019","520972.68896484","31","67","15","14","5","0.79","56","18","19","7","0.91","91","6","3","<1","0.22","35","37","67","40","0.47","43","39","21","21","63","29","0.47","27","48","66","73","75","66","0.11","77","20","314"
"Landlocked Developing Countries","2020","533143.39898682","31","68","15","13","4","0.79","57","19","18","6","0.91","91","6","2","<1","0.22","35","38","67","41","0.47","43","40","22","22","64","29","0.47","28","48","66","74","75","66","0.11","77","20","315"
"Small Island Developing States","2000","55106.094065189","57","80","3","9","8","0.14","61","4","16","18","0.16","95","1","3","<1","-0.01","-","65","66","-","-","67","16","-","41","49","-","-","42","23","-","83","80","-","-","86","11","316"
"Small Island Developing States","2001","55738.948901772","57","80","3","9","8","0.14","61","4","16","18","0.16","95","1","3","<1","-0.01","-","65","66","-","-","67","16","-","42","49","-","-","42","23","-","83","80","-","-","85","11","317"
"Small Island Developing States","2002","57260.30346334","57","80","3","9","8","0.14","60","4","17","18","0.16","95","1","3","<1","-0.01","-","65","66","-","-","66","17","-","41","49","-","-","42","23","-","83","79","-","-","85","12","318"
"Small Island Developing States","2003","57872.574125171","57","80","3","9","8","0.14","61","4","17","18","0.16","95","2","3","<1","-0.01","-","65","66","-","-","66","17","-","41","49","-","-","42","23","-","82","79","-","-","84","12","319"
"Small Island Developing States","2004","58506.750543356","57","80","3","9","8","0.14","61","4","17","17","0.16","95","2","3","<1","-0.01","-","65","66","-","-","66","17","-","42","49","-","-","42","23","-","82","79","-","-","84","13","320"
"Small Island Developing States","2005","59183.186475992","58","81","3","9","8","0.14","61","5","18","17","0.16","95","2","3","<1","-0.01","-","65","67","-","-","66","17","-","42","49","-","-","42","23","-","82","79","-","-","84","13","321"
"Small Island Developing States","2006","59909.923492193","58","81","3","9","7","0.14","61","5","18","17","0.16","95","2","3","<1","-0.01","-","65","67","-","-","66","18","-","42","49","-","-","42","24","-","82","79","-","-","83","13","322"
"Small Island Developing States","2007","60677.810403943","58","81","3","9","7","0.14","61","5","18","16","0.16","95","2","3","<1","-0.01","-","66","67","-","-","66","18","-","42","50","-","-","42","24","-","82","79","-","-","83","14","323"
"Small Island Developing States","2008","61469.9231745","59","81","3","9","7","0.14","61","5","18","16","0.16","95","2","3","<1","-0.01","-","66","67","-","-","66","18","-","43","50","-","-","42","24","-","82","79","-","-","83","14","324"
"Small Island Developing States","2009","62260.715965509","59","81","3","9","7","0.14","62","5","18","15","0.16","95","2","3","<1","-0.01","-","66","67","-","-","66","19","-","43","50","-","-","42","24","-","82","79","-","-","82","14","325"
"Small Island Developing States","2010","63030.941877127","59","82","3","9","6","0.14","62","5","18","15","0.16","95","2","3","<1","-0.01","-","67","68","-","-","66","19","-","44","50","-","-","42","25","-","82","80","-","-","82","15","326"
"Small Island Developing States","2011","63777.734882355","60","82","3","9","6","0.14","62","5","19","15","0.16","95","2","3","<1","-0.01","-","67","68","-","-","66","19","-","44","50","-","-","42","25","-","82","80","-","-","82","15","327"
"Small Island Developing States","2012","64504.585243702","60","82","3","9","6","0.14","62","5","19","14","0.16","95","2","3","<1","-0.01","-","67","68","-","-","65","20","-","44","51","-","-","42","26","-","82","80","-","-","81","16","328"
"Small Island Developing States","2013","65206.704165459","60","82","3","9","6","0.14","63","5","19","14","0.16","95","2","3","<1","-0.01","-","68","69","-","-","65","20","-","45","51","-","-","42","26","-","82","80","-","-","81","16","329"
"Small Island Developing States","2014","65880.009481549","60","83","3","9","5","0.14","63","5","19","13","0.16","95","2","3","<1","-0.01","-","68","69","-","-","65","21","-","45","51","-","-","42","26","-","82","80","-","-","80","17","330"
"Small Island Developing States","2015","66522.539109111","61","83","3","9","5","0.14","63","5","19","13","0.16","95","2","2","<1","-0.01","-","68","69","-","-","65","21","-","46","52","-","-","42","27","-","82","80","-","-","80","18","331"
"Small Island Developing States","2016","67129.347726226","61","83","3","9","5","0.14","64","5","19","12","0.16","95","2","2","<1","-0.01","-","68","69","-","-","64","22","-","47","52","-","-","42","27","-","82","81","-","-","79","18","332"
"Small Island Developing States","2017","67703.320490837","61","83","3","9","5","0.14","64","5","19","12","0.16","95","2","2","<1","-0.01","-","68","69","-","-","64","22","-","47","52","-","-","41","28","-","82","80","-","-","78","19","333"
"Small Island Developing States","2018","68260.895502448","61","83","3","9","5","0.14","64","5","19","12","0.16","95","2","2","<1","-0.01","-","68","69","-","-","63","23","-","47","52","-","-","41","28","-","82","80","-","-","78","20","334"
"Small Island Developing States","2019","68824.536523461","61","83","3","9","5","0.14","64","5","19","12","0.16","95","2","2","<1","-0.01","-","68","69","-","-","63","24","-","47","52","-","-","41","29","-","81","80","-","-","77","20","335"
"Small Island Developing States","2020","69410.089661121","61","83","3","9","5","0.14","64","5","19","12","0.16","95","2","2","<1","-0.01","-","68","69","-","-","62","24","-","47","52","-","-","40","29","-","81","80","-","-","76","21","336"
"World","2000","6135796.4098182","47","82","3","12","4","0.42","70","3","20","7","0.61","95","1","3","<1","0.05","62","63","76","62","0.63","57","27","42","42","65","42","0.89","33","40","85","86","89","85","0.06","85","12","337"
"World","2001","6214664.4196966","47","82","3","11","4","0.42","70","3","19","7","0.61","95","1","3","<1","0.05","62","63","76","62","0.63","58","27","42","42","65","42","0.89","33","40","84","87","89","84","0.06","85","12","338"
"World","2002","6294471.4602929","48","83","3","11","4","0.42","71","4","19","7","0.61","95","1","3","<1","0.05","63","64","76","63","0.63","58","27","42","44","65","42","0.89","34","40","85","87","89","85","0.06","85","12","339"
"World","2003","6373635.3101485","48","83","3","11","4","0.42","71","4","18","7","0.61","95","1","2","<1","0.05","63","65","77","63","0.63","59","27","43","45","66","43","0.89","35","41","85","87","88","85","0.06","85","12","340"
"World","2004","6453330.9547177","49","83","3","10","4","0.42","72","4","17","7","0.61","96","2","2","<1","0.05","63","66","77","63","0.63","59","27","43","46","66","43","0.89","35","41","84","87","88","84","0.06","85","12","341"
"World","2005","6533754.6086529","49","84","3","10","4","0.42","73","4","17","6","0.61","96","2","2","<1","0.05","63","67","77","63","0.63","60","27","43","48","66","43","0.89","36","41","84","87","88","84","0.06","84","13","342"
"World","2006","6615610.5068919","50","84","3","9","3","0.42","73","4","16","6","0.61","96","2","2","<1","0.05","64","68","77","64","0.63","60","27","43","50","66","43","0.89","36","41","84","87","88","84","0.06","84","13","343"
"World","2007","6697631.535942","50","85","3","9","3","0.42","74","4","16","6","0.61","96","2","2","<1","0.05","64","69","77","64","0.63","61","27","44","51","67","44","0.89","37","42","84","87","88","84","0.06","84","13","344"
"World","2008","6780351.7000296","51","85","3","9","3","0.42","75","4","15","6","0.61","96","2","2","<1","0.05","64","70","77","64","0.63","61","27","44","52","67","44","0.89","37","42","84","87","88","84","0.06","84","13","345"
"World","2009","6863624.6690342","51","86","3","8","3","0.42","75","4","15","6","0.61","96","2","2","<1","0.05","65","71","78","65","0.63","61","27","45","54","67","45","0.89","38","42","84","87","88","84","0.06","84","13","346"
"World","2010","6947315.1259327","52","86","3","8","3","0.42","76","5","14","5","0.61","96","2","2","<1","0.05","66","72","78","66","0.63","62","27","46","55","67","46","0.89","38","42","84","87","88","84","0.06","84","13","347"
"World","2011","7041194.258116","52","87","3","8","3","0.42","76","5","14","5","0.61","96","2","2","<1","0.05","67","72","78","67","0.63","62","27","48","56","67","48","0.89","39","43","84","87","87","84","0.06","84","13","348"
"World","2012","7125827.9235984","53","87","3","7","3","0.42","77","5","13","5","0.61","96","2","2","<1","0.05","67","73","78","67","0.63","63","28","49","56","68","49","0.89","39","43","84","87","87","84","0.06","84","14","349"
"World","2013","7210582.0976663","53","87","3","7","2","0.42","78","5","12","5","0.61","96","2","2","<1","0.05","68","73","78","68","0.63","63","28","50","57","68","50","0.89","39","43","85","88","87","85","0.06","84","14","350"
